uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,6
AC,OUTRAS,DOMICILIO,"< 9",M,9
AC,OUTRAS,HOSPITAL,"< 9",F,39
AC,OUTRAS,HOSPITAL,"< 9",M,39
AC,OUTRAS,OUTRO,"< 9",F,4
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",F,1
AC,COVID,HOSPITAL,"< 9",M,7
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,15
AC,PNEUMONIA,HOSPITAL,"< 9",M,17
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,29
AC,SEPTICEMIA,HOSPITAL,"< 9",M,43
AC,SRAG,HOSPITAL,"< 9",F,2
AL,OUTRAS,DOMICILIO,"< 9",F,11
AL,OUTRAS,DOMICILIO,"< 9",M,17
AL,OUTRAS,HOSPITAL,"< 9",F,181
AL,OUTRAS,HOSPITAL,"< 9",I,4
AL,OUTRAS,HOSPITAL,"< 9",M,209
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,4
AL,COVID,HOSPITAL,"< 9",F,8
AL,COVID,HOSPITAL,"< 9",M,4
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,20
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,26
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,13
AL,PNEUMONIA,HOSPITAL,"< 9",M,20
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,61
AL,SEPTICEMIA,HOSPITAL,"< 9",M,75
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,2
AM,OUTRAS,DOMICILIO,"< 9",F,17
AM,OUTRAS,DOMICILIO,"< 9",M,26
AM,OUTRAS,HOSPITAL,"< 9",F,241
AM,OUTRAS,HOSPITAL,"< 9",I,8
AM,OUTRAS,HOSPITAL,"< 9",M,255
AM,OUTRAS,OUTRO,"< 9",F,1
AM,OUTRAS,OUTRO,"< 9",M,8
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,7
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,29
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,23
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,34
AM,PNEUMONIA,HOSPITAL,"< 9",M,46
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,105
AM,SEPTICEMIA,HOSPITAL,"< 9",M,136
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,4
AM,SRAG,HOSPITAL,"< 9",M,8
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,HOSPITAL,"< 9",F,26
AP,OUTRAS,HOSPITAL,"< 9",M,24
AP,OUTRAS,OUTRO,"< 9",F,4
AP,OUTRAS,OUTRO,"< 9",M,3
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,COVID,HOSPITAL,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,4
AP,PNEUMONIA,HOSPITAL,"< 9",M,7
AP,PNEUMONIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,17
AP,SEPTICEMIA,HOSPITAL,"< 9",M,17
AP,SEPTICEMIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,1
BA,OUTRAS,DOMICILIO,"< 9",F,36
BA,OUTRAS,DOMICILIO,"< 9",M,53
BA,OUTRAS,HOSPITAL,"< 9",F,462
BA,OUTRAS,HOSPITAL,"< 9",I,24
BA,OUTRAS,HOSPITAL,"< 9",M,550
BA,OUTRAS,IGNORADO,"< 9",I,1
BA,OUTRAS,IGNORADO,"< 9",M,3
BA,OUTRAS,OUTRO,"< 9",F,3
BA,OUTRAS,OUTRO,"< 9",M,6
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,16
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,26
BA,OUTRAS,VIA_PUBLICA,"< 9",F,5
BA,OUTRAS,VIA_PUBLICA,"< 9",M,3
BA,COVID,DOMICILIO,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,11
BA,COVID,HOSPITAL,"< 9",I,1
BA,COVID,HOSPITAL,"< 9",M,18
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,3
BA,INDETERMINADA,HOSPITAL,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,153
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,189
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
BA,PNEUMONIA,DOMICILIO,"< 9",F,2
BA,PNEUMONIA,HOSPITAL,"< 9",F,37
BA,PNEUMONIA,HOSPITAL,"< 9",M,39
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,190
BA,SEPTICEMIA,HOSPITAL,"< 9",I,1
BA,SEPTICEMIA,HOSPITAL,"< 9",M,235
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,9
BA,SRAG,HOSPITAL,"< 9",M,11
CE,OUTRAS,AMBULANCIA,"< 9",F,2
CE,OUTRAS,DOMICILIO,"< 9",F,16
CE,OUTRAS,DOMICILIO,"< 9",M,23
CE,OUTRAS,HOSPITAL,"< 9",F,430
CE,OUTRAS,HOSPITAL,"< 9",I,14
CE,OUTRAS,HOSPITAL,"< 9",M,461
CE,OUTRAS,IGNORADO,"< 9",F,20
CE,OUTRAS,IGNORADO,"< 9",M,17
CE,OUTRAS,OUTRO,"< 9",F,11
