"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"20/01";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"05/02";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"15/02";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"01/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"06/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"07/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"11/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"12/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;6
"13/03";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;7
"14/03";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6
"15/03";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"16/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;10
"17/03";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;14
"18/03";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;18
"19/03";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;3;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;3;-;29
"20/03";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4;1;28
"21/03";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;1;1;-;18
"22/03";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;10
"23/03";2;-;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;2;-;-;1;-;-;-;-;1;1;1;1;5;2;2;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;3;-;-;-;2;-;1;1;-;1;1;2;-;3;-;-;-;-;1;-;2;-;-;-;1;-;1;3;-;1;-;-;3;1;61
"24/03";1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;1;-;-;1;-;-;-;-;1;5;-;-;-;-;1;1;-;1;-;1;-;1;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;2;-;1;-;-;1;-;-;-;-;-;-;1;1;-;2;-;1;-;40
"25/03";-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;2;2;-;-;-;-;5;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;1;-;-;-;1;-;-;3;1;-;2;1;1;-;1;1;-;-;-;2;1;1;-;-;1;-;-;-;2;1;-;2;-;2;3;55
"26/03";-;-;1;1;2;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;1;-;2;1;-;-;2;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;4;39
"27/03";-;4;1;1;3;-;3;-;1;-;3;1;1;-;2;4;3;3;1;-;1;4;-;5;2;3;4;1;1;3;2;2;3;10;5;2;5;1;-;-;1;5;-;10;2;1;3;1;2;2;1;-;14;1;8;2;1;-;3;3;4;-;9;3;4;1;2;2;6;5;-;4;1;-;2;2;1;2;3;1;1;2;1;1;9;1;1;-;2;3;1;2;2;1;2;1;51;53;331
"28/03";-;1;1;1;2;-;2;-;-;1;2;1;1;-;4;1;5;2;4;-;-;1;5;2;5;3;2;-;2;7;3;-;-;6;5;1;9;-;-;-;2;5;-;5;2;-;1;1;2;1;2;-;8;1;12;3;1;-;4;1;3;2;4;4;1;3;1;3;1;2;3;1;1;-;4;2;-;1;5;1;1;1;1;-;10;2;-;-;1;4;-;2;-;-;1;3;30;54;282
"29/03";-;-;-;2;-;1;-;1;-;-;-;-;-;-;2;1;1;3;-;3;1;1;-;-;-;1;-;1;-;1;-;1;-;3;1;2;3;-;-;-;-;-;-;6;3;1;1;-;2;-;-;-;8;-;5;1;-;-;-;1;-;1;4;-;-;-;-;-;-;2;-;-;1;3;1;-;-;2;1;-;1;1;3;-;6;-;-;-;-;1;-;2;1;2;-;6;20;23;138
"30/03";3;1;1;2;1;-;2;-;-;-;2;2;5;2;4;5;2;3;5;-;2;4;5;2;1;2;4;2;3;-;-;2;3;9;5;6;9;-;1;-;3;10;1;7;4;3;2;1;1;-;2;-;8;3;11;-;-;1;-;-;4;4;6;3;1;-;3;1;7;6;4;4;1;2;1;2;4;5;5;-;3;1;1;6;7;2;-;-;2;5;1;8;2;2;4;1;18;10;293
"31/03";1;2;-;1;2;-;8;1;-;-;1;3;5;-;2;3;2;2;8;4;2;4;3;2;6;1;3;1;4;2;5;-;2;1;4;3;6;2;-;-;4;3;1;4;3;5;1;1;2;-;5;-;5;-;26;-;-;4;4;2;5;2;3;2;1;3;-;2;8;1;6;-;-;5;3;1;1;8;3;1;1;4;2;-;13;-;-;1;-;1;1;4;2;-;-;6;10;15;281
"01/04";6;2;1;-;4;-;19;-;2;-;2;1;5;3;8;4;7;3;13;-;1;12;4;-;6;1;2;1;2;11;1;1;6;2;4;9;5;4;1;-;2;17;4;11;10;2;3;3;-;4;5;-;7;3;22;9;-;7;2;5;1;4;3;-;2;4;-;1;10;1;1;8;3;3;8;3;2;9;4;1;-;1;6;3;16;2;3;1;2;-;3;10;6;2;7;4;9;27;439
"02/04";-;-;-;1;3;1;5;2;-;1;4;-;6;-;3;-;5;3;9;1;1;6;2;14;6;2;2;1;4;7;2;6;3;3;4;8;4;1;1;2;4;11;1;5;4;6;6;-;2;3;2;-;6;-;14;1;-;2;4;6;6;-;4;3;3;4;-;2;7;1;5;3;3;3;6;2;9;7;7;-;-;3;3;1;5;-;3;-;1;-;3;8;9;2;2;3;17;16;351
"03/04";2;-;-;4;7;2;4;-;-;1;7;-;1;-;6;2;8;12;9;2;1;9;1;10;6;2;9;2;3;5;7;11;5;3;8;20;6;8;-;-;7;15;3;7;5;3;1;6;4;2;6;-;4;1;13;1;-;4;2;7;4;2;2;4;2;3;-;6;17;3;3;4;-;6;9;4;6;8;3;-;1;4;2;2;2;8;3;1;7;1;2;11;5;6;2;7;16;19;459
